id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
NCF_201_R2256_imp_ch_flt1-45_flt50_rejectedarte_ICA_prep_rf_int,2.007762671,2.490888119,2.148370504,2.439635038,3.866255283,5.988573074,6.152590752,2.12011838,3.888592958,8.137019157,12.22590065,3.642198801,3.645319939,15.24287605,17.99344254,14.86026001,1.571791291,17.10949707,30.53951645,28.38117409,11.63871956,15.04225159,45.56060791,46.7828598,38.28912735,11.92554951,49.90988159,26.07920647,21.41730309,19.46565437,1.918567896,3.047441006,5.125090599,2.086809397,2.703601599,4.816582203,7.180060387,3.448122501,5.724118233,9.713952065,9.79551506,9.224516869,17.11848068,21.39490318,6.57383728,31.00180626,33.19805145,22.50387192,33.22585678,48.01663208,41.29923248,25.06879425,37.50900269,63.77060318,46.53591156,34.57884598,3.067177296,1.904564381,4.448788643,2.907927513,37.27626801,18.62260246
NCF_202_R2256_imp_ch_flt1-45_flt50_rejectedarte_rch_ICA_prep_rf_int,,0.823939621,,5.231180191,15.89597797,,,,9.920055389,21.84814644,17.65170097,4.930061817,,21.73455429,24.81168747,12.96492958,,11.47367859,25.69263077,22.40463829,7.843632698,5.138293743,24.8702507,20.7407074,12.28673649,0.495095104,9.73580265,3.466983795,2.947590113,2.578195095,3.479493618,11.34203911,,,10.93038559,17.16590118,,,20.67644691,21.57731438,12.23379517,11.59030914,26.95606995,19.66231537,5.459641933,22.78832436,23.71081543,14.37769794,12.84419823,24.31896973,16.44315529,9.09838295,11.22304058,11.32910824,8.014738083,5.8250103,,,,0.743932903,11.17124844,4.018922329
NCF_204_R2256_imp_ch_flt1-45_flt50_rejectedarte_ICA_prep_rf_int,0.457942456,0.588430762,0.53132993,0.63974452,0.777337313,1.198710918,1.148455262,0.401417881,0.518390834,1.978251696,2.430885315,1.03557992,0.279400229,1.628517866,4.127664089,3.810593843,0.684637129,0.501273274,4.929545403,7.343386173,3.404600859,0.421599209,4.372809887,9.668026924,9.226733208,1.307781816,4.34144783,1.506766796,1.182544708,1.487823248,0.757452726,0.686414838,0.606251717,0.363921881,0.772898912,1.051506162,1.234654665,0.639665067,1.093014479,2.500442743,2.072661638,0.500199139,3.358791828,4.387706757,1.767060399,2.69837904,6.406153679,6.00150013,1.50456965,4.382025719,10.89156532,4.569308281,1.509344339,1.509484172,4.31548357,2.959285259,0.51338613,0.524729848,0.28823489,0.856384516,1.50018096,2.973246336
NCF_205_R2256_imp_ch_flt1-45_flt50_rejectedarte_ICA_prep_rf_int,2.541801453,2.356795788,2.144071579,1.380919814,6.810533524,3.970391273,3.142448425,1.908054113,6.901519299,13.51977253,4.640607834,3.185080051,1.088146091,31.89225197,10.15867615,10.86251163,1.652604818,8.423072815,22.39828682,18.05768394,4.8850317,2.123719692,17.34270859,26.60634995,17.70991707,5.460223675,16.94532204,4.755392551,5.548766613,8.145293236,1.710135579,3.106332302,2.820415974,2.158178806,2.590755701,4.790090084,3.133654118,2.65986824,31.07851791,5.081589699,5.707708836,7.589116096,22.12105751,8.94784832,3.09339571,18.93487358,20.65349197,11.29012012,8.23573494,23.27803802,23.95107841,11.5850544,8.770340919,16.30628967,15.33477402,14.849823,1.456194043,1.08370018,1.091729045,2.637201548,5.987823009,11.24154282
NCF_206_R2256_imp_ch_flt1-45_flt50_rejectedarte_ICA_prep_rf_int,8.27347374,9.027207375,8.850296021,5.48541975,10.61128235,14.42117119,15.3026619,7.046968937,11.36183834,20.2228756,21.3076725,13.1323204,6.724180222,39.31492233,33.39251709,35.93544006,10.15069771,27.66836357,60.12324142,54.97513962,28.07758141,21.76224518,60.463871,67.60610962,63.87299728,32.38855362,58.52801132,27.63361168,27.19568443,32.93104553,5.953355789,10.54034805,11.82132149,15.20043373,7.209157467,13.04535198,15.84415531,10.06127357,20.25968361,19.2314949,24.85759735,22.86227417,40.93016815,38.65393448,19.33958244,53.72856903,57.06068802,50.2238884,41.54788971,60.49446106,67.07939148,52.20172501,52.36109543,62.27165985,74.09046936,64.02379608,6.404128075,6.939477921,9.804521561,17.1456356,27.47382545,35.23328781
NCF_207_R2256_imp_ch_flt1-45_flt50__rejectedarte_ICA_prep_rf_int,2.953179598,2.657606602,2.620179653,3.152635098,4.795478344,5.520514488,4.936836243,1.967655659,6.636433601,15.69147873,11.11176586,4.550375462,3.429162979,30.47026062,29.39898872,19.64112473,2.411770344,14.64946079,43.89134979,51.16965866,17.97230148,5.711001873,32.84626007,82.83167267,62.30368042,16.62374687,69.10832214,9.57059288,13.19799995,20.25613022,3.84257865,4.169231892,3.549589634,2.279925346,4.706791878,7.729435444,5.342337132,3.29228878,22.56032753,12.57285595,9.575586319,8.84965992,30.36319733,25.05895042,7.248587608,27.44701004,54.82545471,37.89721298,15.46260166,70.40859222,82.40035248,43.11024857,10.44809628,33.28153992,50.10628128,41.72522354,3.541676521,2.311346292,3.477628231,5.593868256,10.21757221,34.24273682
NCF_209_R2256_imp_ch_flt1-45_flt50_rejectedarte_ICA_prep_rf_int,1.61752975,1.861856461,1.893399596,1.461527348,2.909367085,3.605781555,2.57508564,1.033366442,1.519361615,2.905567646,4.190184116,,2.416366339,2.253019333,5.148709774,4.495735645,2.258020401,,4.254696846,5.789155006,5.376916409,,3.72032094,8.013586044,9.625304222,6.186702251,8.528543472,3.159674168,3.881934166,4.243360519,1.737671256,2.383058786,2.525909424,1.148153305,1.731509089,2.929045439,3.758960724,1.22839129,2.358943224,4.485969543,3.557122707,1.102211833,3.824843407,5.034695148,3.250458717,2.415627003,6.292607784,5.924631596,,3.800771952,9.093738556,9.145970345,2.155197382,5.329556942,7.477523327,7.350992203,1.573002219,,1.286097169,3.814153433,2.143507481,7.35171175
NCF_210_R2256_imp_ch_flt1-45_flt50_rejectedarte_rch_ICA_prep_rf_int,,,,1.191963673,4.471736908,1.499138474,1.535691381,,4.364091873,4.445790291,4.992917061,0.946507335,1.184455872,4.397483349,3.870331764,5.206417084,1.906625271,2.120510578,3.177145958,4.618708134,3.321686983,0.771499217,3.105875492,3.169379473,3.894955873,1.856835246,1.556244254,0.478385299,0.764586806,0.989385366,,,1.139665365,,4.248163223,4.488120556,1.406017423,0.998438537,4.406080723,5.104310513,5.177789688,2.125860691,3.256789446,4.241971493,3.140560389,3.635673761,3.881252527,5.011371613,1.342046142,3.156676769,3.809684038,3.027664423,0.666317582,1.500395179,1.339076877,1.328740835,1.192615509,,2.103831291,1.261547565,0.664893329,1.278552651
NCF_211_R2256_imp_ch_flt1-45_flt50_rejectedarte_ICA_prep_rf_int,1.216783881,1.550251722,1.100414634,0.884099722,1.933148742,2.484272957,1.862822294,1.90942657,1.65493989,3.642586231,4.54475069,3.679656982,1.674789667,4.673610687,9.986641884,9.739609718,2.441822767,3.599592686,11.76853657,17.73900223,13.81523895,2.861626863,12.34455872,22.38300323,26.22813988,4.29587841,20.76612091,5.135052204,6.154411793,3.762804508,0.902371466,1.867492676,1.563180685,3.207999706,1.906699419,1.962983727,1.964290738,1.773980618,2.693815231,4.363862991,4.307217598,2.152549505,7.966840744,9.74905014,6.189670086,8.584688187,17.30432701,19.38213921,5.471218109,16.05325699,24.65153122,14.25021935,12.05251884,16.27134705,15.77581978,9.529239655,1.127826452,1.990086675,1.672100544,5.614364624,4.825586796,3.872520447
NCF_212_R2256_imp_ch_flt1-45_flt50_rejectedarte_rch_ICA_prep_rf_int,,0.079042524,,0.469308525,0.251318365,0.304508358,0.38352868,,0.267325848,0.258855939,0.557303905,0.24596779,0.693400085,0.537252247,0.852979064,0.589643419,,0.836402237,0.735882282,0.750454545,0.28987658,1.02869308,1.062663198,1.133391857,0.846896827,0.347593635,2.846707344,1.005544543,1.006928444,0.38450256,0.205048352,0.237511873,0.188155934,0.307143569,0.205253333,0.240586475,0.38667655,0.211619079,0.298669308,0.543249488,0.539069235,0.581142843,0.639785826,0.690827608,0.274542153,0.878658116,0.712497592,0.667680621,1.053025603,0.307143569,0.937221825,0.381537735,1.087278247,1.096034288,1.1970644,0.382070392,0.861509562,,0.781797767,0.081572026,1.073538303,0.383104652
