,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
NCF_227_R2256_imp_ch_flt1-45_flt50_rejectedarte_ICA_prep_rf_int,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.75,10.75,10.75,10.5,10.25,10.75,10.75,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.75,10.75,10.75,10.5,10.75,10.75,10.5,10.5,10.5,10.5,10.5,10.5,10.75,10.5
NCF_228_R2256_imp_ch_flt1-45_flt50_rejectedarte_rch_ICA_prep_rf_int,10.5,10.5,10.5,10.5,10.5,10.25,10.5,10.5,10.5,10.25,10.25,10.5,10.75,10.5,10.25,10.75,10.75,10.5,10.75,11.0,10.75,10.5,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.5,10.5,10.5,10.5,10.5,10.5,10.25,10.5,10.25,10.25,10.5,10.5,10.5,10.5,10.75,10.75,10.75,11.0,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.5,10.5,10.5,10.75,10.75,10.75
NCF_229_R2256_imp_ch_flt1-45_flt50_rejectedarte_rch_ICA_prep_rf_int,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.25,12.5,12.5,12.5,12.25,12.5,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.5,12.25,12.25,12.5,12.5,12.5,12.25,12.5,12.5,12.5,12.5,12.5,12.25,12.5,12.5,12.5,12.25,12.5,12.5,12.5,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.5,12.5,12.25,12.25,12.5,12.5,12.5,12.25,12.5,12.25,12.25,12.5
NCF_230_R2256_imp_ch_flt1-45_flt50_rejectedarte_ICA_prep_rf_int,10.5,10.5,10.5,10.25,10.5,10.5,10.5,10.5,10.25,10.5,10.5,10.5,10.25,10.25,10.5,10.5,10.5,10.25,10.25,10.25,10.5,10.25,10.25,10.25,10.5,10.5,10.25,10.25,10.25,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.25,10.5,10.5,10.25,10.25,10.5,10.5,10.25,10.25,10.5,10.25,10.25,10.25,10.5,10.25,10.25,10.5,10.5,10.25,10.75,10.25,10.5,10.25,10.5
NCF_231_R2256_imp_ch_flt1-45_flt50_rejectedarte_ICA_prep_rf_int,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.25,9.75,9.75,10.0,10.0,10.0,9.75,9.75,10.0,10.0,10.0,9.75,10.25,10.0,10.0,10.0,10.0,10.0,10.25,10.25,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.75,10.0,10.25,9.75,9.75,10.0,10.0,9.75,10.0,10.0,10.0,10.0,10.25,10.25,10.0,10.0,10.0,10.0,10.0,9.75,10.25,10.0
NCF_232_R2256_imp_ch_flt1-45_flt50_rejectedarte_ICA_prep_rf_int,11.5,11.5,11.5,11.5,11.5,11.5,11.5,,11.5,11.5,11.5,12.5,11.5,11.5,11.5,12.0,11.5,11.5,11.5,11.75,12.0,11.25,11.25,11.5,11.75,11.75,11.25,11.0,11.25,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.75,12.0,11.5,11.5,12.0,11.25,11.25,11.75,11.75,11.0,11.25,11.5,11.5,11.5,11.5,11.25,11.75,11.0,11.5
NCF_233_R2256_imp_ch_flt1-45_flt50_rejectedarte_rch_ICA_prep_rf_int,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.5,10.5,10.75,10.75,10.5,10.5,10.5,10.75,10.5,10.5,10.75,10.75,10.75,10.5,10.75,10.75,10.75,10.75,10.75,10.5,10.5,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.5,10.5,10.75,10.5,10.5,10.5,10.75,10.75,10.75,10.75,10.5,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.5,10.75,10.5,10.75,10.75,10.75
NCF_234_R2256_imp_ch_flt1-45_flt50_rejectedarte_ICA_prep_rf_int,8.5,8.5,8.75,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,11.0,8.5,8.5,8.5,8.5,8.75,8.5,8.5,8.5,8.75,8.5,8.75,8.75,8.75,8.5,8.5,8.5,8.75,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.75,8.5,8.5,8.5,8.5,10.5,8.5,8.5,8.75,8.75
NCF_235_R2256_imp_ch_flt1-45_flt50_rejectedarte_ICA_prep_rf_int,10.25,10.25,10.25,10.25,10.25,10.0,10.0,10.25,10.0,9.75,9.75,9.75,9.75,10.0,9.75,9.75,9.75,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.25,10.0,10.25,10.0,10.25,10.25,10.0,10.25,10.25,10.0,10.0,10.0,10.0,9.75,9.75,10.0,9.75,9.75,9.75,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.25,9.75,10.0,9.75,10.0,10.0
NCF_236_R2256_imp_ch_flt1-45_flt50_rejectedarte_rch_ICA_prep_rf_int,12.0,12.25,12.0,,10.5,10.5,10.75,11.0,,10.5,10.75,,,10.25,10.5,10.75,,,10.5,10.5,10.5,11.75,10.5,10.5,10.5,10.75,10.5,10.75,10.75,10.5,,12.0,12.25,12.0,,10.5,10.5,,10.5,10.5,10.75,,10.5,10.5,,10.5,10.5,10.5,10.5,10.5,10.5,10.5,11.0,11.0,10.5,10.75,,11.0,,,11.0,10.75
NCF_238_R2256_imp_ch_flt1-45_flt50_rejectedarte_ICA_prep_rf_int,10.75,10.75,10.75,12.5,10.75,10.75,10.75,10.75,12.5,10.75,10.75,10.75,10.75,11.0,10.75,10.75,10.75,10.75,10.75,10.75,10.75,11.0,11.0,10.75,10.75,13.0,10.75,12.25,12.0,10.5,11.0,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75,12.25,10.75,10.75,10.75,12.25,12.25,10.75,10.75,10.75,10.75,10.75,11.0,12.25,10.75
NCG_301_R2256_imp_ch_flt1-45_flt50_rejectedarte_chr_ICA_prep_rf_int,,11.0,11.0,11.25,11.25,11.0,11.0,11.0,11.25,11.0,10.75,11.0,10.75,,10.75,10.75,11.0,10.75,10.75,10.75,10.75,,,10.75,10.75,10.75,10.75,,,10.75,8.0,8.0,11.0,11.0,11.25,11.0,11.0,11.0,8.0,10.75,10.75,10.75,11.0,10.75,10.75,,10.75,10.75,,10.75,10.75,10.75,,,10.75,10.75,10.75,11.0,10.75,10.75,,10.75
NCG_302_R2256_imp_ch_flt1-45_flt50_rejectedarte_ICA_prep_rf_int,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.25,9.75,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.75,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.75,9.5,9.5,9.5
NCG_303_R2256_imp_ch_flt1-45_flt50_rejectedarte_chr_ICA_prep_rf_int,11.75,12.0,9.25,,11.75,11.75,9.25,9.5,9.0,9.0,9.25,9.25,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.25,9.25,9.0,9.25,12.0,9.25,9.0,9.25,9.25,9.25,11.75,9.75,9.25,12.0,11.75,9.5,9.25,9.0,9.25,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.25,9.0,9.0,9.25,9.25,9.25,9.25,9.5,9.0,9.0,9.0,12.25,9.25,12.0
NCG_304_R2256_imp_ch_flt1-45_flt50_rejectedarte_ICA_prep_rf_int,12.25,12.0,12.0,10.0,8.0,12.25,12.25,12.25,9.75,9.75,10.25,12.0,10.0,10.5,10.25,10.5,10.25,11.5,10.5,10.5,12.25,12.5,12.5,10.5,12.25,12.25,12.5,12.5,12.5,12.25,10.0,12.5,12.25,12.25,12.5,12.5,12.25,12.25,9.5,12.25,10.5,11.0,10.25,10.5,10.5,10.5,10.5,12.25,12.5,10.5,12.25,12.25,12.5,12.5,12.25,12.25,10.0,10.25,11.5,10.25,12.5,12.25
NCG_305_R2256_imp_ch_flt1-45_flt50_rejectedarte_chr_ICA_prep_rf_int,11.75,11.75,11.75,11.75,11.75,12.0,12.0,11.75,11.75,11.75,11.75,11.75,10.5,10.5,11.75,12.0,12.0,11.75,11.75,12.0,12.0,11.75,11.75,12.0,12.0,12.0,12.0,11.75,12.0,12.0,11.75,12.0,12.0,11.75,11.75,11.75,12.0,11.75,11.75,11.75,12.0,12.0,10.5,11.75,11.75,11.75,12.0,12.0,11.75,12.0,12.0,12.0,11.75,11.75,12.0,12.0,12.0,11.75,11.75,12.0,11.75,12.0
NCG_306_R2256_imp_ch_flt1-45_flt50_rejectedarte_chr1_ICA_prep_rf_int,10.75,10.75,10.75,10.75,10.75,10.75,10.5,10.5,10.75,10.75,10.5,10.75,10.75,11.0,10.75,10.75,11.0,11.0,10.75,10.5,10.5,10.75,10.75,10.75,10.5,10.25,10.75,10.5,10.5,10.5,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.5,10.75,10.75,10.5,11.0,10.75,10.5,10.75,11.0,10.75,10.5,10.75,10.75,10.75,10.5,10.75,10.75,10.5,10.5,10.75,10.75,11.0,10.5,10.75,10.5
NCG_307_R2256_imp_ch_flt1-45_flt50_rejectedarte_chr_ICA_prep_rf_int,11.0,11.0,11.0,11.0,10.75,10.75,11.0,10.75,10.75,10.75,10.75,,10.75,10.75,10.75,10.75,,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.5,10.75,10.75,10.75,10.5,10.5,11.0,10.75,11.0,11.0,10.75,10.75,10.75,10.75,10.75,10.75,11.0,10.75,10.75,10.75,,10.75,10.75,10.75,10.75,10.75,10.75,10.5,11.0,11.0,10.5,10.5,10.5,10.75,11.0,11.0,11.0,10.5
NCG_308_R2256_imp_ch_flt1-45_flt50_rejectedarte_chr_ICA_prep_rf_int,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
